solver_group,CaseID,Implementation,N,Re,Scheme,PressureSolver,Runtime_s,Iterations,AvgPoissonRelResidual,Quality,source_file
cpp_openmp_t4,2,openmp_cpp,32,100,upwind,RBSOR,12.173165906,4000,5.75090163629e-05,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_002.csv
cpp_openmp_t4,3,openmp_cpp,32,100,central,RBGS,61.671660556,5500,9.16411087027e-05,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_003.csv
cpp_openmp_t4,4,openmp_cpp,32,100,central,RBSOR,12.464788292,5500,5.92300574361e-05,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_004.csv
cpp_openmp_t4,5,openmp_cpp,32,400,upwind,RBGS,39.120044027,4000,9.29384779981e-05,needs_improvement,comparison/results/split/cpp_openmp_t4_case_005.csv
cpp_openmp_t4,6,openmp_cpp,32,400,upwind,RBSOR,11.384708574,4000,6.45593192335e-05,needs_improvement,comparison/results/split/cpp_openmp_t4_case_006.csv
cpp_openmp_t4,7,openmp_cpp,32,400,central,RBGS,62.197661987,5500,9.31774606428e-05,needs_improvement,comparison/results/split/cpp_openmp_t4_case_007.csv
cpp_openmp_t4,8,openmp_cpp,32,400,central,RBSOR,12.656084099,5500,6.52177025161e-05,needs_improvement,comparison/results/split/cpp_openmp_t4_case_008.csv
cpp_openmp_t4,9,openmp_cpp,32,1000,upwind,RBGS,40.011562858,7000,8.72827263944e-05,needs_improvement,comparison/results/split/cpp_openmp_t4_case_009.csv
cpp_openmp_t4,10,openmp_cpp,32,1000,upwind,RBSOR,12.574796688,7000,5.43281322189e-05,needs_improvement,comparison/results/split/cpp_openmp_t4_case_010.csv
cpp_openmp_t4,11,openmp_cpp,32,1000,central,RBGS,50.503663392,8500,8.78148556893e-05,needs_improvement,comparison/results/split/cpp_openmp_t4_case_011.csv
cpp_openmp_t4,12,openmp_cpp,32,1000,central,RBSOR,13.863750237,8500,4.805056001e-05,needs_improvement,comparison/results/split/cpp_openmp_t4_case_012.csv
cpp_openmp_t4,13,openmp_cpp,64,100,upwind,RBGS,433.293383903,4000,9.80531322402e-05,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_013.csv
cpp_openmp_t4,14,openmp_cpp,64,100,upwind,RBSOR,80.004923564,4000,8.02159832272e-05,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_014.csv
cpp_openmp_t4,15,openmp_cpp,64,100,central,RBGS,639.647165744,5500,9.78963559449e-05,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_015.csv
cpp_openmp_t4,16,openmp_cpp,64,100,central,RBSOR,81.882704141,5500,7.87017974524e-05,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_016.csv
cpp_openmp_t4,17,openmp_cpp,64,400,upwind,RBGS,498.488808458,4000,9.82123100574e-05,needs_improvement,comparison/results/split/cpp_openmp_t4_case_017.csv
cpp_openmp_t4,18,openmp_cpp,64,400,upwind,RBSOR,80.35782936,4000,7.94659329116e-05,needs_improvement,comparison/results/split/cpp_openmp_t4_case_018.csv
cpp_openmp_t4,19,openmp_cpp,64,400,central,RBGS,792.811130678,5500,9.83589004006e-05,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_019.csv
cpp_openmp_t4,20,openmp_cpp,64,400,central,RBSOR,86.339204287,5500,7.80452949485e-05,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_020.csv
cpp_openmp_t4,21,openmp_cpp,64,1000,upwind,RBGS,629.658252747,7000,9.77776596704e-05,needs_improvement,comparison/results/split/cpp_openmp_t4_case_021.csv
cpp_openmp_t4,22,openmp_cpp,64,1000,upwind,RBSOR,118.207824927,7000,7.77800383048e-05,needs_improvement,comparison/results/split/cpp_openmp_t4_case_022.csv
cpp_openmp_t4,23,openmp_cpp,64,1000,central,RBGS,758.538890094,8500,9.80088314945e-05,needs_improvement,comparison/results/split/cpp_openmp_t4_case_023.csv
cpp_openmp_t4,24,openmp_cpp,64,1000,central,RBSOR,135.514413136,8500,7.97024667853e-05,needs_improvement,comparison/results/split/cpp_openmp_t4_case_024.csv
cpp_openmp_t4,25,openmp_cpp,128,100,upwind,RBGS,5834.38475428,7000,0.000140371533297,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_025.csv
cpp_openmp_t4,26,openmp_cpp,128,100,upwind,RBSOR,1040.51847273,7000,9.31921712343e-05,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_026.csv
cpp_openmp_t4,27,openmp_cpp,128,100,central,RBGS,5843.3278183,8500,0.000149392174025,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_027.csv
cpp_openmp_t4,28,openmp_cpp,128,100,central,RBSOR,1585.51918129,8500,9.35820927654e-05,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_028.csv
cpp_openmp_t4,29,openmp_cpp,128,400,upwind,RBGS,6627.77456651,7000,0.000361222821364,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_029.csv
cpp_openmp_t4,30,openmp_cpp,128,400,upwind,RBSOR,1254.84452047,7000,9.30158858505e-05,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_030.csv
cpp_openmp_t4,31,openmp_cpp,128,400,central,RBGS,6554.29706295,8500,0.000399920557594,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_031.csv
cpp_openmp_t4,32,openmp_cpp,128,400,central,RBSOR,2043.05740065,8500,9.29992719373e-05,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_032.csv
cpp_openmp_t4,33,openmp_cpp,128,1000,upwind,RBGS,7459.26293274,10000,0.000305247594764,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_033.csv
cpp_openmp_t4,34,openmp_cpp,128,1000,upwind,RBSOR,1980.43384704,10000,9.36613220349e-05,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_034.csv
cpp_openmp_t4,35,openmp_cpp,128,1000,central,RBGS,10250.3737992,11500,0.000309287535411,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_035.csv
cpp_openmp_t4,36,openmp_cpp,128,1000,central,RBSOR,2295.23681082,11500,9.2757324433e-05,validated_but_not_converged,comparison/results/split/cpp_openmp_t4_case_036.csv
cpp_serial,1,serial_cpp,32,100,upwind,RBGS,62.377485135,4000,9.17261227739e-05,validated_but_not_converged,comparison/results/split/cpp_serial_case_001.csv
cpp_serial,2,serial_cpp,32,100,upwind,RBSOR,15.536349398,4000,5.75090163629e-05,validated_but_not_converged,comparison/results/split/cpp_serial_case_002.csv
cpp_serial,3,serial_cpp,32,100,central,RBGS,76.755185552,5500,9.16411087027e-05,validated_but_not_converged,comparison/results/split/cpp_serial_case_003.csv
cpp_serial,4,serial_cpp,32,100,central,RBSOR,19.446844078,5500,5.9230057436e-05,validated_but_not_converged,comparison/results/split/cpp_serial_case_004.csv
cpp_serial,5,serial_cpp,32,400,upwind,RBGS,60.722636444,4000,9.29384779982e-05,needs_improvement,comparison/results/split/cpp_serial_case_005.csv
cpp_serial,6,serial_cpp,32,400,upwind,RBSOR,14.44299505,4000,6.45593192336e-05,needs_improvement,comparison/results/split/cpp_serial_case_006.csv
cpp_serial,7,serial_cpp,32,400,central,RBGS,77.327453595,5500,9.31774606428e-05,needs_improvement,comparison/results/split/cpp_serial_case_007.csv
cpp_serial,8,serial_cpp,32,400,central,RBSOR,19.630838126,5500,6.52177025164e-05,needs_improvement,comparison/results/split/cpp_serial_case_008.csv
cpp_serial,9,serial_cpp,32,1000,upwind,RBGS,61.317713215,7000,8.72827263944e-05,needs_improvement,comparison/results/split/cpp_serial_case_009.csv
cpp_serial,10,serial_cpp,32,1000,upwind,RBSOR,19.369818415,7000,5.4328132219e-05,needs_improvement,comparison/results/split/cpp_serial_case_010.csv
