SourceFamily,CaseFolder,CaseIndex,case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency,best_total_cores,best_runtime_median_s,successful_repeats,Runtime_s_mean,Runtime_s_std,Runtime_s_min,Runtime_s_max
openmp,openmp_case_8,8,case1_N64_Re100_central_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,64,100,central,RBGS,1000.0,200.0,2.0,1,2.0,3.0,3.4979699139999996,3.6337261730000003,3.512595024,1.0,4.184066802,1.19116,0.595581,2.0,3.512595024,,,,,
openmp,openmp_case_8,8,case1_N64_Re100_central_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,64,100,central,RBSOR,1000.0,200.0,2.0,1,2.0,3.0,2.375647865,2.458477162,2.382107887,1.0,2.853465408,1.19787,0.5989369999999999,2.0,2.382107887,,,,,
openmp,openmp_case_8,8,case1_N64_Re100_central_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,64,100,central,RBGS,1000.0,200.0,4.0,1,4.0,3.0,3.839133467,3.8640441460000003,3.873160753,1.0,5.436209865,1.4035600000000001,0.35089000000000004,4.0,3.873160753,,,,,
openmp,openmp_case_8,8,case1_N64_Re100_central_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,64,100,central,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,2.598741397,2.608339842,2.599934366,1.0,3.748893928,1.44192,0.36048,4.0,2.599934366,,,,,
openmp,openmp_case_8,8,case1_N64_Re100_central_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,64,100,central,RBGS,1000.0,200.0,4.0,1,4.0,3.0,3.575447485,3.587755832,3.585261695,1.0,4.196369749,1.17045,0.292613,4.0,3.585261695,,,,,
openmp,openmp_case_8,8,case1_N64_Re100_central_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,64,100,central,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,2.40901592,2.434660282,2.440797042,1.0,2.8462235739999997,1.1661,0.291526,4.0,2.440797042,,,,,
openmp,openmp_case_9,9,case1_N64_Re400_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,64,400,upwind,RBGS,1000.0,200.0,4.0,1,4.0,3.0,4.269029744,4.290315681,4.2827699589999995,1.0,5.777566928,1.34903,0.337256,4.0,4.2827699589999995,,,,,
openmp,openmp_case_9,9,case1_N64_Re400_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,64,400,upwind,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,2.711558316,2.7635193460000003,2.784244891,1.0,3.8819445260000003,1.39425,0.348563,4.0,2.784244891,,,,,
openmp,openmp_case_9,9,case1_N64_Re400_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,64,400,upwind,RBGS,1000.0,200.0,2.0,1,2.0,3.0,3.709808785,3.7321300839999996,3.734069761,1.0,4.472243518,1.19769,0.598843,2.0,3.734069761,,,,,
openmp,openmp_case_9,9,case1_N64_Re400_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,64,400,upwind,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,2.520505741,2.538791496,2.536307201,1.0,2.9646484930000003,1.16888,0.292221,4.0,2.536307201,,,,,
openmp,openmp_case_9,9,case1_N64_Re400_upwind_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,64,400,upwind,RBGS,1000.0,200.0,4.0,1,4.0,3.0,4.083055876,4.092401907,4.096426085,1.0,5.781729814,1.41141,0.352852,4.0,4.096426085,,,,,
openmp,openmp_case_9,9,case1_N64_Re400_upwind_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,64,400,upwind,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,2.635429025,2.67077461,2.676339805,1.0,3.893415693,1.45475,0.363688,4.0,2.676339805,,,,,
openmp,openmp_case_9,9,case1_N64_Re400_upwind_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,64,400,upwind,RBGS,1000.0,200.0,4.0,1,4.0,3.0,3.8152713510000003,3.823523756,3.822503723,1.0,4.461966522,1.16729,0.29182199999999997,4.0,3.822503723,,,,,
openmp,openmp_case_9,9,case1_N64_Re400_upwind_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,64,400,upwind,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,2.475271348,2.5095088469999998,2.517022669,1.0,2.9611030780000003,1.1764299999999999,0.294108,4.0,2.517022669,,,,,
openmp,openmp_case_10,10,case1_N64_Re400_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,64,400,central,RBGS,1000.0,200.0,4.0,1,4.0,3.0,4.545579489,4.576063476,4.586842995,1.0,6.133329927999999,1.3371600000000001,0.334289,4.0,4.586842995,,,,,
openmp,openmp_case_10,10,case1_N64_Re400_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,64,400,central,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,2.8848399710000003,2.892134008,2.892535538,1.0,3.9647184460000005,1.37067,0.342668,4.0,2.892535538,,,,,
openmp,openmp_case_10,10,case1_N64_Re400_central_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,64,400,central,RBGS,1000.0,200.0,2.0,1,2.0,3.0,3.9810921919999998,4.132106683,3.981467247,1.0,4.731324263,1.18834,0.594168,2.0,3.981467247,,,,,
openmp,openmp_case_10,10,case1_N64_Re400_central_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,64,400,central,RBSOR,1000.0,200.0,2.0,1,2.0,3.0,2.529283144,2.615030564,2.531896275,1.0,3.018505067,1.1921899999999999,0.596096,2.0,2.531896275,,,,,
openmp,openmp_case_10,10,case1_N64_Re400_central_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,64,400,central,RBGS,1000.0,200.0,4.0,1,4.0,3.0,4.361673038999999,4.39310865,4.396095872,1.0,6.144266717000001,1.3976600000000001,0.349416,4.0,4.396095872,,,,,
openmp,openmp_case_10,10,case1_N64_Re400_central_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,64,400,central,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,2.67257015,2.740111433,2.7728835530000002,1.0,3.9635646980000003,1.4294,0.35735,4.0,2.7728835530000002,,,,,
openmp,openmp_case_10,10,case1_N64_Re400_central_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,64,400,central,RBGS,1000.0,200.0,4.0,1,4.0,3.0,3.931014691,4.037494514,4.088854764,1.0,4.740293831000001,1.1593200000000001,0.28983000000000003,4.0,4.088854764,,,,,
openmp,openmp_case_10,10,case1_N64_Re400_central_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,64,400,central,RBSOR,1000.0,200.0,2.0,1,2.0,3.0,2.580505282,2.594081859,2.589757744,1.0,3.016564544,1.1648100000000001,0.582403,2.0,2.589757744,,,,,
openmp,openmp_case_11,11,case1_N64_Re1000_upwind_steps2000_p250,c_openmp_domain_looped,c,openmp_domain,looped,64,1000,upwind,RBGS,2000.0,250.0,4.0,1,4.0,3.0,3.37001542,3.408771628,3.4130047969999997,1.0,4.755216327,1.39326,0.34831599999999996,4.0,3.4130047969999997,,,,,
openmp,openmp_case_11,11,case1_N64_Re1000_upwind_steps2000_p250,c_openmp_domain_looped,c,openmp_domain,looped,64,1000,upwind,RBSOR,2000.0,250.0,4.0,1,4.0,3.0,2.128027845,2.258904532,2.311604246,1.0,3.2286990839999996,1.3967399999999999,0.349184,4.0,2.311604246,,,,,
openmp,openmp_case_11,11,case1_N64_Re1000_upwind_steps2000_p250,c_openmp_domain_vectorized,c,openmp_domain,vectorized,64,1000,upwind,RBGS,2000.0,250.0,2.0,1,2.0,3.0,3.04423932,3.04934092,3.0458431580000003,1.0,3.647479232,1.19753,0.598763,2.0,3.0458431580000003,,,,,
