SourceFamily,CaseFolder,CaseIndex,case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency,successful_repeats,Runtime_s_mean,Runtime_s_std,Runtime_s_min,Runtime_s_max
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,central,RBGS,1000.0,200.0,16.0,1,16.0,3.0,7.248805624,7.589058998,7.266217709,1.0,0.8953196070999999,0.12321700000000001,0.00770105,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,central,RBSOR,1000.0,200.0,16.0,1,16.0,3.0,3.462446895,4.59689215,3.536203548,1.0,0.5055801533,0.142973,0.00893579,,,,,
openmp,openmp_case_3,3,case1_N32_Re400_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,400,upwind,RBGS,1000.0,200.0,1.0,1,1.0,3.0,1.08661972,1.089022372,1.089502711,1.0,1.089502711,1.0,1.0,,,,,
openmp,openmp_case_3,3,case1_N32_Re400_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,400,upwind,RBSOR,1000.0,200.0,1.0,1,1.0,3.0,0.6502219886,0.6561629586,0.6532900110000001,1.0,0.6532900110000001,1.0,1.0,,,,,
openmp,openmp_case_3,3,case1_N32_Re400_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,400,upwind,RBGS,1000.0,200.0,2.0,1,2.0,3.0,1.45381771,1.589977985,1.654674288,1.0,1.089502711,0.658439,0.32921999999999996,,,,,
openmp,openmp_case_3,3,case1_N32_Re400_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,400,upwind,RBSOR,1000.0,200.0,2.0,1,2.0,3.0,0.8185253777,0.8197684065,0.8201309703,1.0,0.6532900110000001,0.796568,0.398284,,,,,
openmp,openmp_case_3,3,case1_N32_Re400_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,400,upwind,RBGS,1000.0,200.0,4.0,1,4.0,3.0,1.986335646,2.009322399,2.018348564,1.0,1.089502711,0.539799,0.13495,,,,,
openmp,openmp_case_3,3,case1_N32_Re400_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,400,upwind,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,1.112955265,1.125187119,1.120501138,1.0,0.6532900110000001,0.583034,0.145758,,,,,
openmp,openmp_case_3,3,case1_N32_Re400_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,400,upwind,RBGS,1000.0,200.0,8.0,1,8.0,3.0,3.253555097,3.2889954489999997,3.2975256930000003,1.0,1.089502711,0.3304,0.0413,,,,,
openmp,openmp_case_3,3,case1_N32_Re400_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,400,upwind,RBSOR,1000.0,200.0,8.0,1,8.0,3.0,1.8233507869999999,1.836307945,1.83909991,1.0,0.6532900110000001,0.355223,0.0444028,,,,,
openmp,openmp_case_3,3,case1_N32_Re400_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,400,upwind,RBGS,1000.0,200.0,16.0,1,16.0,3.0,6.62152791,6.801073468999999,6.844903134,1.0,1.089502711,0.15917,0.00994812,,,,,
openmp,openmp_case_3,3,case1_N32_Re400_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,400,upwind,RBSOR,1000.0,200.0,16.0,1,16.0,3.0,3.722278971,4.131691816,3.723264199,1.0,0.6532900110000001,0.17546199999999998,0.0109664,,,,,
