CaseID,Implementation,N,Re,Scheme,PressureSolver,Status,Quality,Iterations,LocalMaxIter,FinalRu,FinalRv,FinalRcMass,FinalRcDiv,Runtime_s,AvgPoissonIterations,AvgPoissonRelResidual,PressureSaturationRatio,HasGhia,ValidationPass,Ghia_u_L2,Ghia_v_L2,Ghia_u_Linf,Ghia_v_Linf,Ghia_u_L2_Limit,Ghia_v_L2_Limit,solver_group,source_type,source_file,OriginalImplementation,case_id_std,N_std,Re_std,runtime_std,validation_error_std,residual_std,iterations_std,scheme_std,pressure_std,implementation_std,quality_std
35,openmp_c,128,1000,central,RBGS,maxIter,validated_but_not_converged,11500,11500,4.05661101673e-05,3.41657474697e-05,1.24171057374e-08,0.000200275498439,6828.04797764,2499.70869565,0.000309287535411,0.999652173913,1,1,0.110190529903,0.110900816716,0.222532865447,0.186540282102,0.16,0.18,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_035.csv,,35,128,1000,6828.04797764,,0.000309287535411,11500,central,RBGS,openmp_c,validated_but_not_converged
36,openmp_c,128,1000,central,RBSOR,maxIter,validated_but_not_converged,11500,11500,4.0566076644e-05,3.41657374758e-05,1.24170634091e-08,0.000200274815726,1843.35375996,530.358695652,9.2757324433e-05,0.0,1,1,0.110190429396,0.11090068651,0.222532672964,0.186540117211,0.16,0.18,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_036.csv,,36,128,1000,1843.35375996,,9.2757324433e-05,11500,central,RBSOR,openmp_c,validated_but_not_converged
1,serial_c,32,100,upwind,RBGS,maxIter,validated_but_not_converged,4000,4000,6.03303253703e-06,5.8444802124e-06,6.52624118716e-07,0.000627171778086,49.860215,352.88125,9.17261227739e-05,0.0,1,1,0.0142980957641,0.0105681418602,0.0317108009088,0.0269732983926,0.03,0.03,c_serial,array_split,comparison/results/split/c_serial_case_001.csv,,1,32,100,49.860215,,9.17261227739e-05,4000,upwind,RBGS,serial_c,validated_but_not_converged
2,serial_c,32,100,upwind,RBSOR,maxIter,validated_but_not_converged,4000,4000,6.0327791252e-06,5.84336597637e-06,6.52574012921e-07,0.000627123626417,9.878893,82.85625,5.75090163629e-05,0.0,1,1,0.0142981006225,0.010568138327,0.0317108044249,0.0269733067978,0.03,0.03,c_serial,array_split,comparison/results/split/c_serial_case_002.csv,,2,32,100,9.878893,,5.75090163629e-05,4000,upwind,RBSOR,serial_c,validated_but_not_converged
3,serial_c,32,100,central,RBGS,maxIter,validated_but_not_converged,5500,5500,3.13407292155e-06,3.08299196716e-06,9.46488708721e-07,0.000909575649081,61.144827,314.390909091,9.16411087027e-05,0.0,1,1,0.00728213635357,0.0052874229273,0.0158129349737,0.00795221059865,0.03,0.03,c_serial,array_split,comparison/results/split/c_serial_case_003.csv,,3,32,100,61.144827,,9.16411087027e-05,5500,central,RBGS,serial_c,validated_but_not_converged
4,serial_c,32,100,central,RBSOR,maxIter,validated_but_not_converged,5500,5500,3.13408268325e-06,3.08299097196e-06,9.46538158182e-07,0.000909623170013,12.399098,75.2863636364,5.9230057436e-05,0.0,1,1,0.00728213964138,0.00528742180381,0.0158129414622,0.00795220765037,0.03,0.03,c_serial,array_split,comparison/results/split/c_serial_case_004.csv,,4,32,100,12.399098,,5.9230057436e-05,5500,central,RBSOR,serial_c,validated_but_not_converged
5,serial_c,32,400,upwind,RBGS,maxIter,needs_improvement,4000,4000,2.61771155268e-05,2.33092869773e-05,1.83313363655e-06,0.00176164142473,48.484138,343.0,9.29384779982e-05,0.0,1,0,0.119357892258,0.162929492829,0.258986333592,0.300117246011,0.09,0.12,c_serial,array_split,comparison/results/split/c_serial_case_005.csv,,5,32,400,48.484138,,9.29384779982e-05,4000,upwind,RBGS,serial_c,needs_improvement
6,serial_c,32,400,upwind,RBSOR,maxIter,needs_improvement,4000,4000,2.61771419367e-05,2.33092501914e-05,1.83305725346e-06,0.00176156802057,9.201377,76.85,6.45593192336e-05,0.0,1,0,0.119357899765,0.162929494829,0.258986353455,0.300117263753,0.09,0.12,c_serial,array_split,comparison/results/split/c_serial_case_006.csv,,6,32,400,9.201377,,6.45593192336e-05,4000,upwind,RBSOR,serial_c,needs_improvement
7,serial_c,32,400,central,RBGS,maxIter,needs_improvement,5500,5500,2.72133676059e-05,2.00118852991e-05,6.61894729498e-06,0.00636080835048,61.6069,316.7,9.31774606428e-05,0.0,1,0,0.132961219786,0.189003254317,0.286367704514,0.351604169496,0.09,0.12,c_serial,array_split,comparison/results/split/c_serial_case_007.csv,,7,32,400,61.6069,,9.31774606428e-05,5500,central,RBGS,serial_c,needs_improvement
8,serial_c,32,400,central,RBSOR,maxIter,needs_improvement,5500,5500,2.7213969499e-05,2.00121194614e-05,6.6189330443e-06,0.00636079465557,12.497032,75.9318181818,6.52177025164e-05,0.0,1,0,0.132961226633,0.189003262387,0.286367726616,0.351604199361,0.09,0.12,c_serial,array_split,comparison/results/split/c_serial_case_008.csv,,8,32,400,12.497032,,6.52177025164e-05,5500,central,RBSOR,serial_c,needs_improvement
9,serial_c,32,1000,upwind,RBGS,maxIter,needs_improvement,7000,7000,1.2244684154e-05,7.99806434776e-06,3.38317456713e-06,0.00325123075901,48.884924,195.242857143,8.72827263944e-05,0.0,1,0,0.180889102324,0.271763659646,0.362031745986,0.458341099743,0.16,0.18,c_serial,array_split,comparison/results/split/c_serial_case_009.csv,,9,32,1000,48.884924,,8.72827263944e-05,7000,upwind,RBGS,serial_c,needs_improvement
10,serial_c,32,1000,upwind,RBSOR,maxIter,needs_improvement,7000,7000,1.22446950451e-05,7.99806964898e-06,3.38311382248e-06,0.00325117238341,12.422188,57.6642857143,5.4328132219e-05,0.0,1,0,0.180889099695,0.271763663404,0.362031738423,0.458341105093,0.16,0.18,c_serial,array_split,comparison/results/split/c_serial_case_010.csv,,10,32,1000,12.422188,,5.4328132219e-05,7000,upwind,RBSOR,serial_c,needs_improvement
11,serial_c,32,1000,central,RBGS,maxIter,needs_improvement,8500,8500,4.70221744005e-06,2.74061152106e-06,1.76270924034e-05,0.0169396357997,49.606493,162.588235294,8.78148556892e-05,0.0,1,0,0.209119208852,0.305136194628,0.375117645632,0.509717486236,0.16,0.18,c_serial,array_split,comparison/results/split/c_serial_case_011.csv,,11,32,1000,49.606493,,8.78148556892e-05,8500,central,RBGS,serial_c,needs_improvement
12,serial_c,32,1000,central,RBSOR,maxIter,needs_improvement,8500,8500,4.70222408668e-06,2.74061006813e-06,1.76271437049e-05,0.0169396851004,13.478278,51.2852941176,4.80505600103e-05,0.0,1,0,0.209119204371,0.305136193633,0.375117638741,0.509717483665,0.16,0.18,c_serial,array_split,comparison/results/split/c_serial_case_012.csv,,12,32,1000,13.478278,,4.80505600103e-05,8500,central,RBSOR,serial_c,needs_improvement
13,serial_c,64,100,upwind,RBGS,maxIter,validated_but_not_converged,4000,4000,7.97884815704e-06,7.74838251225e-06,9.23492537296e-08,0.000366534188053,803.215139,1337.66875,9.80531322402e-05,0.00025,1,1,0.00971705431673,0.00638564845758,0.0229430758548,0.0136188180193,0.03,0.03,c_serial,array_split,comparison/results/split/c_serial_case_013.csv,,13,64,100,803.215139,,9.80531322402e-05,4000,upwind,RBGS,serial_c,validated_but_not_converged
14,serial_c,64,100,upwind,RBSOR,maxIter,validated_but_not_converged,4000,4000,7.97885608712e-06,7.7484024737e-06,9.23370414475e-08,0.000366485717505,101.140747,204.85,8.02159832272e-05,0.0,1,1,0.00971705662414,0.00638564348729,0.02294308232,0.013618817512,0.03,0.03,c_serial,array_split,comparison/results/split/c_serial_case_014.csv,,14,64,100,101.140747,,8.02159832272e-05,4000,upwind,RBSOR,serial_c,validated_but_not_converged
15,serial_c,64,100,central,RBGS,maxIter,validated_but_not_converged,5500,5500,3.37818468638e-06,3.42478483339e-06,6.17756035068e-08,0.000245187370318,981.436684,1187.48636364,9.78963559449e-05,0.000181818181818,1,1,0.00344459068849,0.00508954025814,0.00717015930186,0.0103264057267,0.03,0.03,c_serial,array_split,comparison/results/split/c_serial_case_015.csv,,15,64,100,981.436684,,9.78963559449e-05,5500,central,RBGS,serial_c,validated_but_not_converged
16,serial_c,64,100,central,RBSOR,maxIter,validated_but_not_converged,5500,5500,3.37805781526e-06,3.42443224233e-06,6.17616373359e-08,0.000245131938586,125.118785,183.877272727,7.87017974524e-05,0.0,1,1,0.00344459664611,0.00508953678527,0.00717018006476,0.0103263979681,0.03,0.03,c_serial,array_split,comparison/results/split/c_serial_case_016.csv,,16,64,100,125.118785,,7.87017974524e-05,5500,central,RBSOR,serial_c,validated_but_not_converged
17,serial_c,64,400,upwind,RBGS,maxIter,needs_improvement,4000,4000,5.01951616463e-05,4.18930268359e-05,5.70438675517e-08,0.000226407110313,929.216945,1548.6875,9.82123100574e-05,0.02225,1,0,0.105668929268,0.135676099206,0.231682748203,0.222444260544,0.09,0.12,c_serial,array_split,comparison/results/split/c_serial_case_017.csv,,17,64,400,929.216945,,9.82123100574e-05,4000,upwind,RBGS,serial_c,needs_improvement
18,serial_c,64,400,upwind,RBSOR,maxIter,needs_improvement,4000,4000,5.01951678896e-05,4.18930269079e-05,5.70311425107e-08,0.000226356604625,100.924856,204.80625,7.94659329116e-05,0.0,1,0,0.105668929138,0.135676090626,0.231682751762,0.222444253024,0.09,0.12,c_serial,array_split,comparison/results/split/c_serial_case_018.csv,,18,64,400,100.924856,,7.94659329116e-05,4000,upwind,RBSOR,serial_c,needs_improvement
19,serial_c,64,400,central,RBGS,maxIter,validated_but_not_converged,5500,5500,4.99116026227e-05,4.014505453e-05,1.27703961548e-07,0.000506857023382,1219.787651,1477.45909091,9.83589004006e-05,0.0465454545455,1,1,0.0839890970769,0.0994164316698,0.167387771694,0.153040769688,0.09,0.12,c_serial,array_split,comparison/results/split/c_serial_case_019.csv,,19,64,400,1219.787651,,9.83589004006e-05,5500,central,RBGS,serial_c,validated_but_not_converged
